,Close Price,Date
0,27.459999,22-3-2000
1,27.309998999999998,23-3-2000
2,27.98,24-3-2000
3,27.73,27-3-2000
4,27.08,28-3-2000
5,26.450001,29-3-2000
6,26.690001000000002,30-3-2000
7,26.9,31-3-2000
8,26.450001,3-4-2000
9,25.4,4-4-2000
10,25.85,5-4-2000
11,25.700001,6-4-2000
12,24.9,7-4-2000
13,23.799999,10-4-2000
14,24.15,11-4-2000
15,25.5,12-4-2000
16,25.32,13-4-2000
17,25.889999,17-4-2000
18,26.15,18-4-2000
19,27.200001,19-4-2000
20,25.879998999999998,20-4-2000
21,26.040001,24-4-2000
22,25.33,25-4-2000
23,24.67,26-4-2000
24,25.4,27-4-2000
25,25.799999,28-4-2000
26,25.870001000000002,1-5-2000
27,26.92,2-5-2000
28,26.75,3-5-2000
29,26.98,4-5-2000
30,28.09,8-5-2000
31,28.700001,9-5-2000
32,28.15,10-5-2000
33,29.1,11-5-2000
34,29.92,15-5-2000
35,29.73,16-5-2000
36,29.32,17-5-2000
37,30.33,18-5-2000
38,30.0,19-5-2000
39,28.68,22-5-2000
40,28.83,23-5-2000
41,29.93,24-5-2000
42,30.51,25-5-2000
43,30.0,26-5-2000
44,29.1,31-5-2000
45,30.1,1-6-2000
46,29.700001,5-6-2000
47,29.790001,6-6-2000
48,30.0,7-6-2000
49,29.780001000000002,8-6-2000
50,30.25,9-6-2000
51,31.719998999999998,12-6-2000
52,32.549999,13-6-2000
53,32.900002,14-6-2000
54,32.950001,15-6-2000
55,32.349998,16-6-2000
56,31.620001000000002,19-6-2000
57,33.099998,20-6-2000
58,32.189999,22-6-2000
59,32.25,23-6-2000
60,31.629998999999998,26-6-2000
61,32.060001,27-6-2000
62,31.9,28-6-2000
63,32.720001,29-6-2000
64,32.43,30-6-2000
65,30.700001,5-7-2000
66,29.99,6-7-2000
67,30.25,7-7-2000
68,29.700001,11-7-2000
69,30.4,12-7-2000
70,31.5,13-7-2000
71,30.83,17-7-2000
72,31.940001000000002,18-7-2000
73,31.35,19-7-2000
74,30.5,20-7-2000
75,28.1,24-7-2000
76,27.950001,25-7-2000
77,27.809998999999998,26-7-2000
78,28.18,28-7-2000
79,27.450001,31-7-2000
80,27.790001,1-8-2000
81,28.23,2-8-2000
82,28.66,3-8-2000
83,29.92,4-8-2000
84,28.950001,7-8-2000
85,29.120001000000002,8-8-2000
86,30.35,9-8-2000
